state_code,State,District,City,Population (%)
8,Uttar Pradesh,Jyotiba Phule Nagar,,0.92
8,Uttar Pradesh,Kanpur Dehat,,0.9
8,Uttar Pradesh,Banda,,0.9
8,Uttar Pradesh,Etah,,0.89
8,Uttar Pradesh,Santi Kabir Nagar,,0.86
8,Uttar Pradesh,Jalaun,,0.85
8,Uttar Pradesh,Kannauj,,0.83
8,Uttar Pradesh,Gautam Buddha Nagar,,0.82
8,Uttar Pradesh,Kaushambi,,0.8
8,Uttar Pradesh,Etawah,,0.79
8,Uttar Pradesh,Sant Ravidas Nagar,,0.79
8,Uttar Pradesh,Mahamaya Nagar,,0.78
8,Uttar Pradesh,Kanshiram Nagar,,0.72
8,Uttar Pradesh,Auraiya,,0.69
8,Uttar Pradesh,Baghpat,,0.65
8,Uttar Pradesh,Lalitpur,,0.61
8,Uttar Pradesh,Shrawasti,,0.56
8,Uttar Pradesh,Hamirpur,,0.55
8,Uttar Pradesh,Chitrakoot,,0.5
8,Uttar Pradesh,Mahoba,,0.44
9,Bihar,Patna,Patna,5.61
9,Bihar,Purba Champaran,,4.9
9,Bihar,Muzzafarpur,Muzaffarpur,4.61
9,Bihar,Madhubani,,4.31
9,Bihar,Gaya,Gaya,4.22
9,Bihar,Samastipur,,4.09
9,Bihar,Saran,,3.8
9,Bihar,Pashchim Champaran,,3.78
9,Bihar,Darbhanga,Darbhanga,3.78
9,Bihar,Vaisahali,,3.36
9,Bihar,Sitamarhi,,3.29
9,Bihar,Siwan,,3.2
9,Bihar,Purnia,,3.14
9,Bihar,Katihar,,2.95
9,Bihar,Bhagalpur,Bhagalpur,2.92
9,Bihar,Begusarai,,2.85
9,Bihar,Rohtas,,2.84
9,Bihar,Nalanda,,2.76
9,Bihar,Araria,,2.7
9,Bihar,Bhojpur,,2.62
9,Bihar,Gopalganj,,2.46
9,Bihar,Aurangabad,,2.44
9,Bihar,Supaul,,2.14
9,Bihar,Nawada,,2.13
9,Bihar,Banka,,1.95
9,Bihar,Madhepura,,1.92
9,Bihar,Saharsa,,1.83
9,Bihar,Jamui,,1.69
9,Bihar,Buxar,,1.64
9,Bihar,Kishanganj,,1.62
9,Bihar,Khagaria,,1.6
9,Bihar,Kaimur ,,1.56
9,Bihar,Munger,,1.31
9,Bihar,Jehanabad,,1.08
9,Bihar,Lakhisarai,,0.96
9,Bihar,Arwal,,0.67
9,Bihar,Sheohar,,0.63
9,Bihar,Sheikhpura,,0.61
10,Nagaland,Dimapur,Dimapur,19.15
10,Nagaland,Kohima,Kohima,13.54
10,Nagaland,Mon,,12.65
10,Nagaland,Tuensang,,9.94
10,Nagaland,Mokokchung,,9.84
10,Nagaland,Wokha,,8.41
10,Nagaland,Phek,,8.26
10,Nagaland,Zunheboto,,7.11
10,Nagaland,Peren,,4.81
10,Nagaland,Kiphire,,3.74
10,Nagaland,Longleng,,2.55
11,Manipur,Imphal West,Imphal,18.14
11,Manipur,Senapati,,16.78
11,Manipur,Imphal East,Imphal,15.97
11,Manipur,Thoubal,,14.78
11,Manipur,Churachandpur,,9.6
11,Manipur,Bishnupur,Bishnupur,8.31
11,Manipur,Ukhrul,,6.44
11,Manipur,Chandel,,5.05
11,Manipur,Tamenglong,,4.93
12,Mizoram,Aizawl,Aizawl ,36.48
12,Mizoram,Lunglei,,14.71
12,Mizoram,Champhai,Champhai,11.46
12,Mizoram,Lawngtlai,,10.74
